,x_test,future
2887,"[140  91  17 117 135  39 117 135  17 145  11   8  17 145  39 135  17  91
  98 117  85 117  39  91 117  85 135 145  98  91  85 140]",[143  85 131   8  17  39  17  48]
2888,"[130 125  34 109 115 167 130 125  34 109 115 167 159 159 116 116  33  33
 116 116 116 116 159 159 159 159  43 130 125  56  34 109]",[167 130 125  34 109 108 167  29]
2889,"[ 43 135  43  91  43 135  43 135 108   4 108 135  43  91  43 116 167 118
 167 136 167 136 167 136 167 118 167 136 167  36 167 146]",[115 118  96 162  69 162 116 167]
2890,"[109 106   4 135 106  96 162 106   4 135  45  96 146  45 130 145  45  62
 119  45 130 145  34  62  50  34 106   4  34 146  19  34]",[  4 111 146 171 111 130  45 146]
2891,"[ 15  17  15  17  15 135  16  74 153 117 153  60 153  60 153  60 153  60
 153  60 153 117  16  60 153 117  16  60 153 117  21  83]",[ 43  46 133  46 133  46 133  46]
2892,"[115 117 111 108 107 108  31 131  41  28  46  57 108 172  52  91 145  91
 126 117 108 160 144  72 100 131   6 115 131 131 131   6]",[131 131 131  97 144 115 100 115]
2893,"[  3 143 140 100 172 143  31 140 172  47  43 140  58 172  43   3 172 140
  58 172  43   3 172  43 144 135 108  58 135 108 131   4]",[144   4  11  16  29  45 102  29]
2894,"[145  11   8  17 145  39 135  17  91  98 117  85 117  39  91 117  85 135
 145  98  91  85 140  39 143  85 131   8  17  39  17  48]",[ 17  39 131  17 131  98  85  47]
2895,"[ 98   9   9   8  98   9 102   9  98   9  19   9  98   9   9 113  98   9
   9   8  98   9 102   9  98   9  19   9  98   9   9 113]",[144 125 109 102 109 129 109  19]
2896,"[  6 146   6 100 146   6 146 111 146 100 111 146 111  45 111 100  45 111
  45   4  45 127   4  45   4 117   4 127 117   4 117 172]",[ 76  43 108  43   0 135  39  91]
2897,"[ 13  41 160  22  75  57  46  60  80  46  76  31  46  11  31   4 164 144
  76  31  46  11  31   4 164 144  76  31 160  29 144  11]",[ 26 107  41 111  96 110 107 111]
2898,"[ 97 109 159  96 109 159  97 109 116 167 109  96 109 105 115 109 116 167
 109   7  50 109 159  97 109 159 146 109  96 109 116  25]",[ 25  25  56 167  25 115 167  25]
2899,"[  4  54  54 125  54 167 130  38  38  38  78 106  78  78  34 128 128 128
  45 120 120 171 172   6  96  27  27 128  27  27 125   0]",[106  78  78  38  78  78   8 120]
2900,"[124  38  62  78  88 128  27 155  13 162 143 140  91  62  43 135 145 135
  43  91 167  43  91 172  62  91 172 140 172 140 112 109]",[112 143  62 112 143  13 143  13]
2901,"[163  40 146  34   9 162 163   9 146  34  10   6 146  10 115 111  86  45
  34  86 111 115 127   4 146 146  60  60 168 168 114 114]",[ 41   7  41   0   7  51 128  41]
2902,"[ 34  38 144  78 128 143 140  43 144 130 144 106  34  38  48 120  27 143
 172  48 135 130  48  45  96 158 100  54 120  27  51 172]",[135 100   4  45  54   3 128  27]
2903,"[115 172   6 120  45 172   6 120  45 108 125   0 115 108 125   0 115  57
 144  57  46  57  46  57  46 131  46 110  46 131  46  60]",[60 10 60 10 10 80 31 57]
2904,"[ 99  99 131   8  69 131 131  47  32  47  47  26 161 150  48 102  69  48
 131   3 113 134   3  72  47 161 150  47  72  99  56  18]",[141 128  99 102  39 163  99  96]
2905,"[145  17 162  94  11 145  17 162  94 145  11 162  11  94 145  11 162  90
 103 135 157 162  94 135 157 162  94 112 157  98  11 140]",[112 121   8 121  44 145 140  32]
2906,"[107   3  34  96  58 106 107  72  34  96  48 107  34  99  96  34  48 107
  34 100  96  62  72  34  96  58  62  96 128  72  27 155]",[ 51  27 100 155  51  48 155  27]
2907,"[162  43  91  19   4 135 162 112 143   4 135 162  91  43 109  34 106 162
   4 145  34 106  62 135 117   6 130 145  71 143  51 145]",[ 71 155 135 162 106 145  96  43]
2908,"[155  18  88  13  17 163 102 163 102 163 102 167  56 163 102 163 102 163
 102 146 171  62  96  32   8  62  32  96 111   8  98 107]",[ 45  63 130 135  63 172 143  63]
2909,"[167 103  90   9  47 103  90  49 105 103  90   9  47 103  90  49 105 103
  90   9  47 103  90 130  49 105 103  90  81  76  76  86]",[ 60 127 127 127  86 117  31 108]
2910,"[ 43 140 162 106 135  84  91  43  79 106   4  94 135 145  79  34 106  43
 145  34 106  20 130 106  19 162  96  84 107  34  79 162]",[ 94  96  62  73 109 162 146  62]
2911,"[106  85  62 130  17  96  11 163  96 107  11 163  96 107  11  17  96  11
  36 107 130   2 111 106  84  96 107  39 163  96 107  39]",[ 96 107  84  17 107  71 149 107]
2912,"[162 162 162 104 162 162 162 104 162 102 102 102 102 102 102 102 102 104
 102 102 102  92  43 102 113 113 113 113 113 117 113 113]",[113  21   5 137  14 132  60  60]
2913,"[ 39 145 145  39   8 123  39  18  36  84 123 107  39  84  39 102  84  39
  95  84  39  98 156  39  84 156   8  39 123  39 156  91]",[117  69 123  91  39  69  39 102]
2914,"[ 11 163  43  34  29  97  43  34 106  43 162  34 104 104 104 104 104 104
 104 104 104 104 104 104 104 104 104 104 108 117 115 111]",[163 117 111  29  97 117 111 106]
2915,"[107  96 163 102  96 163  39 163  96 163  39 163  96 163  39 163  96 163
  39 163  96 163  39 163  96 163  39  11 107  17  29 107]",[107  29 107 163 107  29 107 163]
2916,"[ 19 165 165 162 165  92  84 165  32 162  53  79  32  53  53 162  53  79
  53 170  56 167 170  79  56 170 170 167  79  79 170  53]",[162  53  79  32  53  53 162  53]
2917,"[ 19 109 121   8  72 106  32 109 162  36  39 167  20 109 162  20 109 102
 162 105  35 167 167 167 167 167  90  36  25 105  36   8]",[167 105 162  56 167  90  39  56]
2918,"[140   6 172  34 140 167 143  34  51 109  34 162  34  51 162  34 140 146
  34 172 146  45 111  45  62  45 111  43  45 117 146  45]",[ 45  26 167  45 111  45  58 162]
2919,"[  4 106   4 135  19  11 106  11 135 102  11 107  11 135   8 130 107 130
 145  39 130 107 130 145 161 130 107 130 145  56 130  34]",[145  32 106  34 106   4 109 106]
2920,"[119 113  21 127   5 137   5 137   5 137   5 137 127   5 137   5 137 127
   5 137   5 137 127   5 137   5 137   5 137   5 137   5]",[  5 137   5 137   5 137 159 132]
2921,"[109 159 146 109  96 109 116  25  89  25  25  56 167  25 115 167  25  34
 167  25 115 167  85  56 167 154  62 167 154  45 167 154]",[167 116  56 167 115 167  34 167]
2922,"[108  21  80  21 113  76  21 125 164 164 115   0  21 164  21 113 108  57
  21 125  28 164 115   0  21  76  21 113 166  21 125 164]",[  0 115 108  21  21 113  21 125]
2923,"[ 10  12  10  12  10  12  10  12   2 131   2 131   2 131   2 131   9  35
   9  35 160  52 160  52  74  82  74  82  60  31  60  31]",[ 31  31  31 127 172 159  13 112]
2924,"[ 96 135  11 111 108   4  96 135   4  96 135   4  96 135   4   8 135 145
  96 117 172  96 143   4  96 135 145   8 117 172  96 143]",[ 96 172  43 172 140 165   4  96]
2925,"[  8 135 172  45 130 135 172  45 130 109 108 140 106 130 108 140 106 130
   6 145 135  96 130 145 135  96 130 162   4 135  96 106]",[135  96 106   4 135  96 106 140]
2926,"[ 21 108 125 115  21 108 125 115  21 108 125 115  21 108 125 115  21 108
 125 115  21 108 125 163 137  11 102 163 137  11 102 163]",[ 11 102 163 137  11 102 163 137]
2927,"[  4   8  34 109 135 146 130 125  34 109 108 167  34 116  43  31  61  52
  47  25 116 116   9   9  77  33 116  25 116  25  41  50]",[ 50  65   5  50   5 159 159  50]
2928,"[ 11 130 106 107  39 106 130  11 150 145 135  43  91 140 143  39 155  13
 143  62 140  91  43 135 145  11 162 130 106 107  62  34]",[ 62  96  34 107 167  34 107  45]
2929,"[162  94  19  39 162  94  19  39 162  72 106  19 109 100   8 106  72  32
 109 162  36  39 167  20 109 162  20 102 109 162 105  35]",[167 167 167 167  90  36  25 105]
2930,"[ 91  43 135 145  11 162 130 106 107  62  34  96  62  96  34 107 167  34
 107  45  62 107  45 106  45 106  29 109 106  29 130  62]",[130  11 130  11 130  39 145  11]
2931,"[ 48   6  96 146  96 144   6  34 163  34  51 144  91 172  58   4   4  48
 107  45 146 155  26 172 140  31 145 145  58  45 106  62]",[ 99 112 143   3 117 117  31  29]
2932,"[167 136 167 167 167  61 167 167 167 136  59 167 167 167 167 167 136 167
  61 167 167 167 136 167 167 167  61 116 167 167 167 167]",[ 35 116  61  59 167 167 116  90]
2933,"[ 34 109  45   6  29  97  62  32  29  97 115 125 130 167  65  42  65  42
  65  42  65  42 130 153 167  60   9   9  34 109  45   6]",[ 97 130 167   4 146 108 115 107]
2934,"[ 34 106 162 130 107 143 130 140 162 106  34 106 155  27 162 155 130  27
 155 107  27  51 155 130  58 162 106  34 106 162 130 107]",[130  72 162 106  34 106 150 162]
2935,"[172  76  76  16   6  45 172  76  76 144 164 125 164 115   0 164 108  57
 144  28 125 164 115   0  76 166 144 164 125  28   0 115]",[ 21 125 115 108  51  57 113  98]
2936,"[108 130 108 167 135 130  67  91  29 135 162 145 106 145  34 145 106 135
 167 145  45 145  96 145  45 135  20 145   4 106 145 135]",[ 43 106 145  79  47 128  27 167]
2937,"[ 34 130 167  96 130 107 130 167 115  34 167  96 107 155  13 167 115 143
  34 143 167  96 143 107  13 167 115 143  34 143 167  96]",[107 143 116  47  43 135 167 108]
2938,"[ 84   8 163  84  39 163 137 163   1 102 163 145   1  39 163   1  97 131
  11 113 163   2 102 163   2  98 163   2 162 163  11 113]",[  2 125 163   2  11  98 163   2]
2939,"[140 117  11 117 140  43 119 140  13  91 102 112  13  91 112  51 135 137
 112 155 135 102 140  13 135  91 112 135  37  91 140 145]",[117 140  11 135 140  11 161 145]
2940,"[  0 140  50 102 172 171  43 125   0 140  50 102 172 171  43 125 140   0
 131 172  43 140 172  43 140 172  43 140 172  43 172  43]",[ 43 135 108   4 108 135 108 135]
2941,"[153  45   4  43 171   4  29   4  41  29  10 108 171  34   4  43  41  29
   4 117 153   4  45   4  60  45 111  11  16  45 115  45]",[115 163  45  16 115 163  11  81]
2942,"[135 145  11 162 130 106 107  62  34  96  62  96  34 107 167  34 107  45
  62 107  45 106  45 106  29 109 106  29 130  62  29 130]",[130  11 130  39 145  11 130  62]
2943,"[ 47  62 146 100  96  62  48 146 167   3 162 167 135 146  62   4  96  34
 106  45 106   4  47 108 117  52  43  91  47 172  91 100]",[ 43   3 172 140  58 143  13  31]
2944,"[ 31  16  19  16  19  16  19  16  19  48  16  19  16  19  16  19  16  19
  58  16  19  16  19  16  19  16  19 144  16  19  16  19]",[ 19  16 102 100 100  31  31  99]
2945,"[145  62 135  96  43  34  36  39 130  62  20  62 106  34 152  72 152  72
 152  72 152  72 114 145  72  20 106 162 130 167   4 146]",[ 62 135  96  43  34  91 107 140]
2946,"[106 157  11 135 140  13 155  27 162  27 147 141  27 162 141 147  27  27
 162 141  27 147  27 162   0  78 168   0  78 162   0  27]",[143  61   8  27  61 143   8  27]
2947,"[135  59   8   6 167 115  96 145   8  96  19 165 171   8   6 162 165 146
  96  43  32 143 136 155 141 128  38 136  93 120   8 158]",[ 38 120  27 155 103 143 140 162]
2948,"[117 161  83  15  83  15  83  15  83  15  83  15 135  15  17  15  17  15
  17  15  17  15  17  15 135  16  74 153 117 153  60 153]",[153  60 153  60 153  60 153 117]
2949,"[ 35  56  35  11  90  36  35  36  49  91  47  47  43  84  90 109   8  32
   8  32  17  17  48  90  48  17  48  90  94  90  94  17]",[90 17 90 48 94 48 90 48]
2950,"[ 68  97  62 111  62  97  62  97  62 111  62  97  62  97  62 111  62  97
  62  20  97  62  34  62  97 145  99  62 107  29 107  62]",[ 62 107  29 161 107  19  62 129]
2951,"[ 34  45  29   7 130   4 108  41 117  43  41 172  59 112 143  51 153   0
 141  43   7 172 112 143  41  51   0  41 141  59 128 120]",[153  38  54  51   7   0 141 128]
2952,"[126 153  57  46  46  10  24  10  46 103 153 103 153  46  57  46 153  46
  59  46 100 100  76  76 153  10  76  76  46 160  57  46]",[ 46 100 100  76  76 153  10  76]
2953,"[  7 171  97   7 146   7  29   7  34  29  60 153  60 153  60 153  60 153
 168 153 168 153  46  40  41  60 153  60 153  60 153  60]",[168 153 168 153  46  40  41  60]
2954,"[ 99  48  17 131 123  17 157  83 110 123 131 157 110 123  17  57 140 157
  83 112 140  99  11 163  48  58 144 149 156 135 149  39]",[ 28  22 117  28  22 135 149 156]
2955,"[ 19 125 109 162 116 162 115 116  34 106  90  61  27  45  90  61  27  45
 165 165  51 106 165 165  51 106  61  61 143 130  61  61]",[130 116 136 143 130 116 136 143]
2956,"[116 125 109 159  50 109  97 109 171 109 129 171 165  19 162 146 162 165
   8 162 165 171   8  61 119   8   6   8  56   8  16  56]",[ 16   6 167   6  89 125   6  89]
2957,"[117 167 127  56 117 167  40  19  43 162  40  19  43 162 105  16 143   6
 105  16 143   6 149   5 143 171 149   5 143 171  34  58]",[  4 100  29   4  58  51 112  48]
2958,"[100 171  47  56  52 129  52 129  31  16  31  16  58  50  58  50  58  50
  58  50  58  50  58  50  58  50  58  50  58  50  58  50]",[ 50 152  98   8   8   8   8   8]
2959,"[ 19  36 161 143  50  36 161 155  36 145  13 143  36 140 145 143  36 145
 155  20 143 145 140  20 172 145 140   2 145  27  94  11]",[ 94  13  11 143  94 140  11  27]
2960,"[ 60  51 146  97  68  68 141  68 163  68  51  97  68  68 141  97  68  68
 117  97  41  41 140 163 112 146  14  14  13  46  86  86]",[ 60 127 127   0  83  51  68  14]
2961,"[ 48 105 144  94 100  46 131  94 100  46  47  40   3 149  31  40   3  46
 131  94 100 133 144 153  48  46  58 153  48 146 171 121]",[ 85 113 171 121  50 121 100 153]
2962,"[ 68 107  51  51   2  11  13  13  84  11  13  13  10 102  11  11  84 102
  11  11  84 171  29  29  84 171 106 106  84 146 140 140]",[ 62 143 143  79  32 140 140  79]
2963,"[ 36  25 105  36  56   8 167 105  56 162 167  90  56  39 167  74 129  39
  97 165  82 162 162 162 162 162  73  20 121  94  20  19]",[162 121  19   8 162  73  19 109]
2964,"[ 19  96 162 146  34  62 107  96  58  32  34  58  73  58  34  72 109 106
  72 106 155   8 107  27 155  51  85 155  87  27 107 155]",[  6 130  71 130  56  96  85  96]
2965,"[ 57  46  45  57  57  46 126 153  57  46  46  10  24  10  46 103 153 103
 153  46  57  46 153  46  59  46 100 100  76  76 153  10]",[ 76  46 160  57  46  57  46 100]
2966,"[  8 147 119  61  61  69   8  17 107  71  39 150 150  69 102  84  11 129
   4  19  44  44   2  62   2 111  44 134 165  97 165 162]",[ 44   2  32   2  98  44 134  30]
2967,"[129 145  19 145  99  62 107  29 107  62 107  62 107  29 161 107  19  62
 129 145 129  62 107  29 107  62 107  62 107 108  29 129]",[102  62  32 145  32  34 106 140]
2968,"[ 84  39  71  71  39  19  74  39  71  10  71  10  17  99  85  95  17  69
  91  39  69 102  39  84  13  39 155  32  39  95 143  39]",[155  39   8 123  39  18  36  84]
2969,"[147 162  94 147 162  94  13  59  32 172 143  71  13 143  32  59  71 140
 155 125  13   9 125 143   9 140 117  17   8  11 135  94]",[135   8 103 147 162  94 147 162]
2970,"[155  51 155  51 121 155  51 140  43  20  43 121 140   4  44 172 140 172
   4 143  82 140 143 140 140 145  53 155  20 128  53 120]",[141 128 120  78 128  51 159  51]
2971,"[ 48   8   6 167  97 167  48   6  72   8  39 100  97 100 162  97 100  39
 100  32  39  72  97  32 109  43 162 140  96  91 106 140]",[135 106 140  62  43 106 155 140]
2972,"[ 39 125  39  97 113 161  39  16 125 129 115  56 125 109 162 109 125  62
 129  98   6  97   6  98 115  21 125  39  97  39 125  39]",[ 39  97  39 125 115 137 125   6]
2973,"[106  51  79 143 106 140  22 106 140  22 106 140  22 106 112  22  29 151
  22  29 151  22  29  38 156 130 143 156 130 143 156 130]",[ 84 106  93  54  84  38 106  54]
2974,"[109 159  96 109 159  97 109 116 167 109  96 109 105 115 109 116 167 109
   7  50 109 159  97 109 159 146 109  96 109 116  25  89]",[ 25  56 167  25 115 167  25  34]
2975,"[163 150 135 135 145 163 145 135 163 145  11 145 145 163  69 135 163  69
  91  17 163  69  91  17 163  69  36  98   2 103   2   2]",[ 98   2 149 140  39  91  95 130]
2976,"[ 39  71  39  71  39 130 161 145 130  45 145  18 117 145 130 117 172 117
 145 172 143 172 117 143 155 143 172 155 141 155 143 141]",[141 155 141 120 141 155 141 120]
2977,"[145 172 145  96   4 145 121   4 145   4 145   4 145  11   4 135   4  96
 130   4  63 130   4 130   4 130   4  29 130 145 130  74]",[106 162   4 146  58 119  48  45]
2978,"[146  34 146 112  29 117  45 129  97 143 111  97 112  62  29 172 125  97
 115  97  43  34  45 172 102   6  34   6  43 115  45 172]",[  6 111   6 117 146  34 140  16]
2979,"[100 100 100 100  10 153  26 153 153  26 153 121 121  10 169 100 100 100
 100 100 100 100 100  10 153  26 153 153  26 153   7  40]",[ 41  10 153 169 169 100  23 100]
2980,"[167  29  97  45   6 145  62   4 146 130 167   4 146 112  34 172  45  43
  29  51 146 143 111 112  34 172  45  43  29 117 130  64]",[40 20 40 20 40 20 40 20]
2981,"[  3  79  72 162  79 109  79 100 162  79 100  39  47  84  99 167  84  58
 162  79  48 162  22  72  32  79  43 109  43  79  43  43]",[ 43  79  43  43  97 135  43  87]
2982,"[  4 106  96 146 167 162 165  39  64 109   8 140  43 145  37  43 155  43
 145  32  43 140  51  43   4 109  43  91 143 145 130  39]",[ 43 143 145 130 167 145  43 140]
2983,"[109 162  73  32 109 162 121  32   8 162  73  32 109 162  94  32  39 162
  20   6  32 162 162 162 162 162  94  32  39  73 109  94]",[ 39 162  94  19  39 162  94  19]
2984,"[ 89  47 100  56 144 144  28 144 160  47  47  31  31 144  28 144 160  47
  47  31  31  47  16  31  19  16  19  16  19  16  19   3]",[19 16 19 16 19 16 19 58]
2985,"[ 96 171 146   5  62  37  96 119 146   5  62  37  96 119 146   5  62  37
  96 119  30 113 113 113 113  30 113  30  30  30  30  26]",[ 26  26  30  26  30  30  30 100]
2986,"[  8  96  11 162 135  96 167 106  96 106 163   8  19  11 135 145  11 145
 130  59  11 106 102 162 130 106  45 106  29 107 171 106]",[ 34 107 106 111  56 107 111  96]
2987,"[ 45 111  45  26 167  45 111  45  58 162 106   3  34 106  47 162 106 100
  34 106  72 162 106  34 106  47 162 130 107 130   3 162]",[ 34 106  99 162 107  96 107  58]
2988,"[ 75  47  47 144  58  47  61  48 103  48 103  48 103  48 103  48 103  45
  48   9  48   9  45  48  74  48  23  48  25  48  25  48]",[ 48 159  48 159  48 159  48 159]
2989,"[115  11 109 145  62  29  98 145 115  11 109 145  62  29 129  98 106  45
  56 107  11 130   2 145  11 117   2 163 130   2 145  11]",[  2 163  43 140  91  11  28 163]
2990,"[ 45 115 117 171   4  45   4   6  45   9   4 171  45 111  45  10 111 146
 171 111  45 111 117 153  45   4  43 171   4  29   4  41]",[ 10 108 171  34   4  43  41  29]
2991,"[137  97 132 137  98 132 137  97 132 146 101 132  98 137 162 163 111 163
 162  98 162 163  39  97 163  96 163  97  39  97 163 162]",[163 111 106 102 111 163 162 163]
2992,"[100  72 134  26  48  48   3 121 121 106 121   2  72 134 134  66   2 134
  48 106  26   2  10  72   2  68  73   2 106  72 119  44]",[48 44 99 84 67 67 44  5]
2993,"[115  62 163  97 161  62 107  29  39  62 107 111  62 111 115 102 107  11
 108 163 107  11  29 107  29 108  32 106  34 145  62 106]",[ 43  11 106  91  39 112 140  91]
2994,"[ 96 155  45 143  20 140 172 106 140  91 121 135 107 145  79  43 106 140
  34 155  62 128 167  27  45  27  62  27  45 143 162 140]",[106 140 135 146   4 106 128 167]
2995,"[  0  27 128   8 141 128 120  40 128 120 151 120 151  38 125 151  38  54
 105  38  54  54 158  32 158  90 158 102 142 158  94  93]",[ 38  78  88 128  32  27 155  51]
2996,"[108 115 117 129  98 146 129  98 146 117 129  98   4  97  11  98 162 163
  98 162 163 112 171  98   4  97  11  98 162 163 109 108]",[  4  97  11 162   4  97 108  83]
2997,"[ 96 106  96 106  96 106  96 157  94 157  94 157  94 157  94 157  94 157
  94 157  83   2 157   2 157   2 157   2 157   2 157   2]",[ 17  28 110  28 110  28 110 123]
2998,"[ 26 107  41 111  96 110 107 111  30   2  83  29  43  17 140  28  17  28
  17 106  83  28 157  83   2  83  29  43  17 140  28  17]",[133 135 140 123  13   1 123 106]
2999,"[146 155 111 146  51  45 143   4 109 146  34 146 140 106 143 130 125 167
 106 167 140  34 130 143   8 167  45 167 172  96 106  13]",[167 143  34 140 167 172 115  43]
3000,"[  4  62 145  97 106  62  29 129  51  62 155  97 140  62 112  97 140  62
 112  97 135  62 117  97 135  62 117  97   4  62 145  97]",[ 62 145  97 106  62  29  97 106]
3001,"[112 171  34  43 146  34 128 146  34   0 146  34  13 171  34   0 146  34
 120 146  34  27 146  34 141 171 111  51 146 111 141 146]",[111 141 146  51 111 172 171 117]
3002,"[ 91  62  43 135 145 135  43  91 167  43  91 172  62  91 172 140 172 140
 112 109 140 112 143  62 112 143  13 143  13 143  98 112]",[ 13 156 143  13 155  13 155  13]
3003,"[155 109  79 140 162  44  79 170  84 106 171 162  79  32 121  94  79  73
  74   3  79  73  22  94  79  73  74   3  79  73  22  94]",[ 73  74  19 162  79  32 146 106]
3004,"[ 98  52  97   3 129  32  98   3  97  31  56  32   8  31 167  48  56  32
   8  48 167 147 102   8 162 163 102   8 162   3 163 131]",[  8 162 131 163   3 102   8 162]
3005,"[103  90   9  47 105  25 103  90 103  90  49 105  49  47 103  90   9  47
 105  25 103  90 103  90  49 105  49  47 103  90  49 105]",[ 47 103  90 103  90  49 105  49]
3006,"[  6  13 108  13   0  80 117   6  51 117  51 141  60  43   6   0  43   0
 128   9  27  69  88  27  69  88 124  99  17  38  78  88]",[ 27 155  13 143  71 140  91 117]
3007,"[135  91  13 100  72  34 109 107  39  62  32 167  56  39 161  95 156  95
 156  95 156  95 156  95 156  95 156  84 156 117 145 130]",[130 145 117  91 143 144  48 123]
3008,"[146 130  34  62 130 135  39 145 130 145  43 162   4 106   4 145 106  34
  62 106 135 130 107  39 130  43  11 106  32  11  43  11]",[ 32  11  43  11 106 161  11  91]
3009,"[143 130 172  45 172  45 112  29   4 146   4 146 172  45 117 111 172  45
 117 111  43   7   4  43  29 146 172  10 117 172   4 146]",[ 41 172 112  43  34   0 157  13]
3010,"[  0 130  51 143  45 112  51  29 143 112   4 172  43   7 146  97 109 130
 167   4 146 108 115 135  96 117 111  43  34 117 111  43]",[112  29 172  45  43  34 117 111]
3011,"[107 130 155 111 107  99 163 107  26  96 107  48  11 107  96 107   8  96
  72 167  96  47  45  96  31 167  96  48 162  96  72 163]",[131 106  96 163  96 102 163  52]
3012,"[ 26  48  26  26   3 131   3 131  26  99  48 144  48  48  99  47  99  47
  48  26  72  26 100  26  72  72  48  72 131  48  47  48]",[131  72 131  47  72  52  72  47]
3013,"[128 167  27  45  27  62  27  45 143 121 140 172 140 135   4 106  96 146
 167 162 165  39  64 109   8 140  43 145  37  43 155  43]",[ 32  43 140  51  43   4 109  43]
3014,"[143 140  62 143 172 140  34 100   8  96 146  96   8  34  62  47  34   3
   8  96 146  96  43   8  34  62  34 135   8  96 146  96]",[ 34  62  43  34 135   8  96 146]
3015,"[117   4   7  43  41 172 149 143 172 143   0  12  51   0  51  51   7  51
  41 116 143  51   0 141 105 128 141   0  51   7  41  51]",[155  51 155  51 121 155  51 140]
3016,"[ 97  66  52 108  21 115  55  34  29 115 108  21 115 111 130 115 108 109
   7  75 117  98 126  70  43 125   7  75 117 129 111  70]",[145 111  43  32  34 106 145  34]
3017,"[  4 153  45 111   4 153  45 111  45 153 111 146 111 153 146   6  98   5
   6 146 111 146   6  98   6 146  98 132 137  97 132 137]",[132 137 111 132 137 146 132 137]
3018,"[  6 120  45 172   6 120  45 108 125   0 115 108 125   0 115  57 144  57
  46  57  46  57  46 131  46 110  46 131  46  60  10  60]",[60 10 10 80 31 57 46 57]
3019,"[167  78 102  94 163  93  37 155  32 158 119  27   8   3   3  38 124  38
 124  38 124  38 124  38 124  38 124  38 151  38 124  38]",[147 143  13 143  13 143  13 143]
3020,"[  4 106  58  52  48  47  72  72  58  72  47  99   3   3 100   3 100  82
  72  58  58  52  58  48  47  72  72  58  72  58 100  99]",[ 47   8  47 109 100  99  47  47]
3021,"[150 156  47 156 156 156 156 150 161  19 161  19 150  56 102 150  56 102
 150  32   8  32   8 150 109  39 150 109  39   3  30  83]",[ 83  83  83  83 149  99  90  90]
3022,"[ 58  48  72 100 127  47   3  31  58 100  26  72 100  47 165   3  47   3
  31  48   3  31  58  48  61  72 100  47   3  48  31  58]",[ 72 165 100  72 100  47  48   3]
3023,"[111  45   4  65 146   4 146 117 111  45   4 117  65 111 117 111 172  45
   4 117 172  65  45 172  45  51   4 117 172  51 127   4]",[  4  51   4  91 112  51 148   4]
3024,"[137 132 137 132 137 132 137 132 137 132 137 101 132 101  73  32 109 162
  73  32 109 162 121  32   8 162  73  32 109 162  94  32]",[162  20   6  32 162 162 162 162]
3025,"[ 24  68  24  68  24  68  24  68  24  68  24  68  24  68  24  68  24  68
  24  68  24  68  73  20  73  20  73  20  73 109  19 162]",[121   8  19 162 162  73 109  19]
3026,"[147  19 147   3  17  19  17  19 134   3  71  19  71  19 147   3  17  19
  17  19  62 114 167 114 167 147 163  94 162  94 162  90]",[ 61   8  61   8  17 162 147   8]
3027,"[146 171   8 146 119 171  97 146 129 171 109  50 146 171  98 113 146 171
   8 146 119 171  98 146 113 171   6  16 146 171  97 129]",[171 167 146  56 171  97 146 129]
3028,"[ 31 109 146  52  96 146  47 167  62 167 109  32 167 109  32  56 130 145
  43 143  47 145  43 143  72  58 159  58  33  58 170  58]",[ 99 105  90 149  58 159 159  48]
3029,"[  8  19   8  64  64 100 100 127 127 100 100  64  64 100 100 127 127 100
 100 100  47  64   3  31  58  26 100  58  48  72 100 127]",[  3  31  58 100  26  72 100  47]
3030,"[ 39  84  13  39 155  32  39  95 143  39 155 155   8  39 123  39  18  36
  84 123  91  39  84  39 129  84  39  71  71  19  39  74]",[71 10 71 10 17 99 85 95]
3031,"[ 43 125  34  75  29 108  34 108  21 115  55  34  29 115 108  21 115 111
 130 115 108 109   7  75 117  98 126  70  43 125   7  75]",[129 111  70  29 145 111 112 129]
3032,"[106  96 146 167 162 165  39  64 109   8 140  43 145  37  43 155  43 145
  32  43 140  51  43   4 109  43  91 143 145 130  39 145]",[143 145 130 167 145  43 140 145]
3033,"[106  19   4 135 172   4  45 171   4 145  43 106  34  32 106   4  43 106
  34 109 106   4 135 106  96 162 106   4 135  45  96 146]",[130 145  45  62 119  45 130 145]
3034,"[171   8 109   8  47  56   8 109   8 100 129   8 109   8  48 129 171 109
 171  72  56  32 109  32 100   8  39 146  47  39  52 109]",[ 96 146  52 109 146  96 146  47]
3035,"[172 117   4   7  43  41 172 149 143 172 143   0  12  51   0  51  51   7
  51  41 116 143  51   0 141 105 128 141   0  51   7  41]",[ 7  0 51  0 51 41  0 51]
3036,"[ 29  11  29 106 100 135 162  97 162  39  52  99  26  48  72 100 111 130
  11 130  96  11 131  91 162  97 162  39  52  99  48 100]",[ 52  96   4 145   4  71  96   4]
3037,"[ 26 153 153  26 153 121 121  10 169 100 100 100 100 100 100 100 100  10
 153  26 153 153  26 153   7  40  55  41  10 153 169 169]",[ 23 100  20  53  20  24  96  16]
3038,"[171   5 171  16   5  16 171   5 171   5 171  16   5  16 171   5 171   5
   4 171 146 111  45   4  65 146   4 146 117 111  45   4]",[ 65 111 117 111 172  45   4 117]
3039,"[130 167 145  43 140 145 106  62 145  43 140   4 106  34   4 135  91   4
 107  19   4 145  91 130 107  56 130 145  43 130  34  32]",[  4  43  29  34 109  29 135   4]
