,x_tr,future
963,"[32  0 21 18 16 16 18 21 18 21 19 21 19 19 19 19 19 19 19 19 19 19 19 29
 27 11 19 24  2 29 11 19]",[ 0 21 18 16 16 18 21 18]
964,"[22  7  2 13  1 29 23  4  4  8  8  0  8  8  8  8  8  8  8  2 10 11 29  6
 25 25 14 14 14  2 13  1]",[ 7  2 13  1 29 23  4  4]
965,"[19 26  4 31 26 25 33 26 22 26  7 26 25 19 26  4 26  4  7 13 26 13 23  7
 11 30 11 23 20 25  3  3]",[26  4 31 26 25 33 26 22]
966,"[24 25 30 24  4 11 24 30 24 24  8 30 24 17 11 24 30 24 24 25 30 24  4 11
 24 30 24 24  9  2 24  8]",[25 30 24  4 11 24 30 24]
967,"[17  0 23  4 20 20 15  3 15  3  1  1  7  7 33  7 15  7  6  7  2 13 29  6
 20 15  6  3  6  6 10 15]",[ 0 23  4 20 20 15  3 15]
968,"[30  4 30  9 30 30 17 30 30 24 24 17  5 24 24  9 30 30 30 30 30  4 30  5
 30 30 30 30 24 24 16 16]",[ 4 30  9 30 30 17 30 30]
969,"[29 33  6 10  5 28  1 20 29 33  6 10 33 28  1 20 29 28  1 20 29 28  1 20
 29 28  1 20 29 28  1 20]",[33  6 10  5 28  1 20 29]
970,"[27 18 13 27 18 13 27 14 18  1 27 14 18  1 27 14 18  1 27 14 18  1 27 18
 29 27 18 29 27 18 15 27]",[18 13 27 18 13 27 14 18]
971,"[22 26  7 26 25 19 26  4 26  4  7 13 26 13 23  7 11 30 11 23 20 25  3  3
  4  5  1 26 20 25  1 24]",[26  7 26 25 19 26  4 26]
972,"[ 0 17  0  8  9  4 25 17  0  8 25  0 17  0  8  9  4 25 17 25  0 17  8  4
 25 17 25  0 17  8  4 25]",[17  0  8  9  4 25 17  0]
973,"[19 30 25 14  4  0  8 11 29  6 28 21 19 30 25 14  4  0  8 29  6 28  7  2
 24 29 20 29  1 24  1 24]",[30 25 14  4  0  8 11 29]
974,"[15 20  4 23 23 23 14 12 25  8 13  3 15 17 14 14 25  8  4 17 17 23  4 25
 25 12 12 12 12 28 20 12]",[20  4 23 23 23 14 12 25]
975,"[ 3  5 15  5 29  5  5  5  5 28  5 11  5 29  5 30  5 13  5  4  5 13  5 22
 13  2 13  8  1 13  2 13]",[ 5 15  5 29  5  5  5  5]
976,"[21 32 21 31 21 32 32 31 32 32 31 32 32 31 32 21 32 21 31 21 32 21 32 21
 31 21 32 21 16 32 31 32]",[32 21 31 21 32 32 31 32]
977,"[10 11  3 31 10 11  3 10 11  3 25 26 13 23  3  4 26 13  3 12 22 26 23 19
 26  4 31 26 25 33 26 22]",[11  3 31 10 11  3 10 11]
978,"[ 1  8 24 11  1 31 24 11  1 24 11  1  8 21  8 27  8 31 33  8 19  7  8  2
 26  8 10  8 11  3 17 11]",[ 8 24 11  1 31 24 11  1]
979,"[21 11 27  2 21 11 29 21 11 27  2 21 10 18  1  6 31  1 10 18  1  6 31  1
 10 18  1  6 31  1 26 18]",[11 27  2 21 11 29 21 11]
980,"[32 21 18 16 16 18 21 18 32 21 32 21 18 16 16 18 21 18 32 21 32  0 21 18
 16 16 18 21 18 21 19 21]",[21 18 16 16 18 21 18 32]
981,"[32 21 32 21 31 21 32 21 16 32 31 32 32 21 31 21 32 21 32 21 31 21 32 21
 32 21 18 16 16 18 21 18]",[21 32 21 31 21 32 21 16]
982,"[ 4 25  8  8  8  8  8  8  8 11 10  2 19 25 25 14 14  2 13  1 29 15 20  4
 23 23 23 14 12 25  8  2]",[25  8  8  8  8  8  8  8]
983,"[ 1  6 31  1 10 18  1  6 31  1 26 18  1  3 31  1 10 21 11 27  3 33 11 27
 10 21 11 27  3 33 11 27]",[ 6 31  1 10 18  1  6 31]
984,"[ 5  5  3  5 15  5 29  5  5  5  5 28  5 11  5 29  5  3  5 15  5 29  5  5
  5  5 28  5 11  5 29  5]",[ 5  3  5 15  5 29  5  5]
985,"[22  0 27 22 29  3  6 15 29  0 15 25 16 25  8  8 17  0 17  0 23  4 29 33
 27 11 19 10  2 29 33 11]",[ 0 27 22 29  3  6 15 29]
986,"[ 8  8 28  8  8  8  8  8  9 17 17 17  9  9  4 25 17 28 28 17 17 17 17 17
  8 25  8  8  4 25 28 28]",[ 8 28  8  8  8  8  8  9]
987,"[24  3 24 15  2 24  5 24  2 24 24 15  2 24  5 24  2 24 20 24 28 30 24 11
 24 30 24 24 30 24 15 11]",[ 3 24 15  2 24  5 24  2]
988,"[29 21 11 27  2 21 11 29 21 11 27  2 21 11 29 21 11 27  2 21 10 18  1  6
 31  1 10 18  1  6 31  1]",[21 11 27  2 21 11 29 21]
989,"[22 26  7 26 25 19 26  4 26  4  7 13 26 13 23  7 11 30 11  9 13 26 13 12
 13 26 13 12 22 26 23 19]",[26  7 26 25 19 26  4 26]
990,"[ 2 29 11 19 24  2 31 11 19 26  3 22 27 11 19 13 26  3 22 11 19 13 26 29
 11 19 24  2 29 11 19 24]",[29 11 19 24  2 31 11 19]
991,"[26 29 33 11 19 10  2 29 33 11 19 10  2 16 16  0  0  0  0  0  0 16 16 16
 16 29 33 27 11 19  6  2]",[29 33 11 19 10  2 29 33]
992,"[ 5 28  1 20 29 33  6 10 33 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20
 29 28  1 20 29 28  1 20]",[28  1 20 29 33  6 10 33]
993,"[31  1 22 11 31 13 21 11 31 22 11 31 23 27  6  6  6  6 15  6  3  9 33  9
  9  9 33  9  9  9 23 33]",[ 1 22 11 31 13 21 11 31]
994,"[19 25 25 14 14  2 13  1 29 15 20  4 23 23 23 14 12 25  8  2 13  1 29 15
 20  4 23 23 23 14 12 25]",[25 25 14 14  2 13  1 29]
995,"[23 29 12 23  2  4 12  8  7 23  8 10 33 24 10 13 10 26 12 23 27  4 12  8
 23  8 23 23 23 23 23 23]",[29 12 23  2  4 12  8  7]
996,"[30 11 23 20 25  3  3  4  5  1 26 20 25  1 24 28 17 29  8 17  3 11  9 22
 26  7 26 25 19 26  4 26]",[11 23 20 25  3  3  4  5]
997,"[32 32 31 32 32 31 32 21 32 21 31 21 32 21 32 21 31 21 32 21 16 32 31 32
 32 21 31 21 32 21 32 21]",[32 31 32 32 31 32 21 32]
998,"[ 0  0  0  0 16 16 16 16 29 33 27 11 19  6  2 29 33 11 19  6  2 31 11 19
  3  3 22 27 11 19 15 26]",[ 0  0  0 16 16 16 16 29]
999,"[ 1  6 31  1 10 18  1  6 31  1 26 18  1  3 31  1 10 21 11 27  3 33 11 27
 10 21 11 27 29 33 11 27]",[ 6 31  1 10 18  1  6 31]
1000,"[27 27 22 22 19 19 17 17 14 14 14 14 14 14  4  4  4 14  9  9  9  8  8 28
  8  8  8  8  8  9 17 17]",[27 22 22 19 19 17 17 14]
1001,"[ 6 31  1 10 18  1  6 31  1 10 18  1  6 31  1 26 18  1  3 31  1 10 21 11
 27  3 33 11 27 10 21 11]",[31  1 10 18  1  6 31  1]
1002,"[ 5 13  5  5 13  5 30  5 15 13  5 29  5  5 30  5 13  5  5 13  5 30  5 15
 13  5 29  5  5  3  5 15]",[13  5  5 13  5 30  5 15]
1003,"[20  6 23 12  9  7 10  9  9  9  7 10  9  9  9 23 10 12 10 10 24 10 10 10
 10 12 10 12 12 12 10 12]",[ 6 23 12  9  7 10  9  9]
1004,"[25 30 24  4 11 24 30 24 24  8 30 24 17 11 24 30 24 24 25 30 24  4 11 24
 30 24 24  9  2 24  8  5]",[30 24  4 11 24 30 24 24]
1005,"[ 1 20  1 15 13 29  1 13  2 13  1 29 27 31 33 22  0 27 22 27 31 33 22  0
 27 22 16 19 16 19  2  2]",[20  1 15 13 29  1 13  2]
1006,"[29  6 28  7  2 24 29 20 29  1 24  1 24  2 28  7 20 20 28  7 20 27 29  1
  1 29  1  1 29  1  1 29]",[ 6 28  7  2 24 29 20 29]
1007,"[32 31 32 32 31 32 32 31 32 21 32 21 31 21 32 21 32 21 31 21 32 21 16 32
 31 32 32 21 31 21 32 21]",[31 32 32 31 32 32 31 32]
1008,"[17 17 17 17 17 17 14 14 14 14 14 14 14 22  7  2 13  1 29 23  4  4  8  8
  0  8  8  8  8  8  8  8]",[17 17 17 17 17 14 14 14]
1009,"[29 11 19 24  2 31 11 19 26  3 22 27 11 19 13 26  3 22 11 19 13 26 29 11
 19 24  2 29 11 19 24  2]",[11 19 24  2 31 11 19 26]
1010,"[26 29  2  1  7 13 22 29  2 20  1 20  1 15 13 29  1 13  2 13  1 29 27 31
 33 22  0 27 22 27 31 33]",[29  2  1  7 13 22 29  2]
1011,"[31 21 32 21 32 21 31 21 32 21 32 21 18 16 16 18 21 18 32 21 32 21 18 16
 16 18 21 18 32 21 32  0]",[21 32 21 32 21 31 21 32]
1012,"[12 33 23 33 33 33 33 20  9 33 12 10  6  5  6  9  6 20  6 23 12  9  7 10
  9  9  9  7 10  9  9  9]",[33 23 33 33 33 33 20  9]
1013,"[ 2 10 25 10 23  2 10  8 22  2 17  2 13  2  2  2  2  2  8  2 22  4 30 22
  4 24 22  9 30 22  8  9]",[10 25 10 23  2 10  8 22]
1014,"[19 24  2 29 11 19 24  2 31 11 19 26  3 22 27 11 19 13 26  3 22 11 19 13
 26 29 11 19 24  2 29 11]",[24  2 29 11 19 24  2 31]
1015,"[ 6 15 23 20  4 20  3 17  6 20 15 12 32 18 12 21 12 12 31 33 22 19 12  7
 12 30 26 12 24 11  1  8]",[15 23 20  4 20  3 17  6]
1016,"[18  1 27 14 18  1 27 18 29 27 18 29 27 18 15 27 18 15 27 14 18 20 27 14
 18 20 27 18 28 27 18 28]",[ 1 27 14 18  1 27 18 29]
1017,"[21 32 21 32 21 31 21 32 21 16 32 31 32 32 21 31 21 32 21 32 21 31 21 32
 21 32 21 18 16 16 18 21]",[32 21 32 21 31 21 32 21]
1018,"[33  6 10  5 28  1 20 29 33  6 10 33 28  1 20 29 28  1 20 29 28  1 20 29
 28  1 20 29 28  1 20 29]",[ 6 10  5 28  1 20 29 33]
1019,"[ 2 13  1 29 15 20  4 23 23 23 14 12 25  8 13  3 15 17 14 14 25  8  4 17
 17 23 12 12  8 27 31 33]",[13  1 29 15 20  4 23 23]
1020,"[ 0 17  0 23  4 20 20 15  3 15  3  1  1  7  7 33  7 15  7  6  7  2 13 29
  6 20 15  6  3  6  6 10]",[17  0 23  4 20 20 15  3]
1021,"[21 11 27  3 33 11 27 10 21 11 27  3 33 11 27 10 21 11 27 29 33 11 27 13
 21 11 31 29 22 11 31 13]",[11 27  3 33 11 27 10 21]
1022,"[12 32 18 12 21 12 12 31 33 22 19 12  7 12 30 26 12 24 11  1  8 24 11  1
 31 24 11  1 24 11  1  8]",[32 18 12 21 12 12 31 33]
1023,"[31  1 10 18  1  6 31  1 26 18  1  3 31  1 10 21 11 27  3 33 11 27 10 21
 11 27  3 33 11 27 10 21]",[ 1 10 18  1  6 31  1 26]
1024,"[ 6 15  9 28 15  3 29  5 11 13 24 30 26 24 13 24 26 24 13 24 26 13 24 26
 13 24 26 13 24 26 13 24]",[15  9 28 15  3 29  5 11]
1025,"[ 2 22  4 30 22  4 24 22  9 30 22  8  9 24 30  5 13  5  5 13  5 30  5 15
 13  5 29  5  5 30  5 13]",[22  4 30 22  4 24 22  9]
1026,"[10 10 10 23 26 25  1  4  1  1 10 13 11 13 11  4  1  2  4  1 23  1  1 24
 10 13 10  1 23 29 12 23]",[10 10 23 26 25  1  4  1]
1027,"[ 9  6  1  9 23 12  6 15  9 28 15  3 29  5 11 13 24 30 26 24 13 24 26 24
 13 24 26 13 24 26 13 24]",[ 6  1  9 23 12  6 15  9]
1028,"[ 2 21 10 18  1  6 31  1 10 18  1  6 31  1 10 18  1  6 31  1 26 18  1  3
 31  1 10 21 11 27  3 33]",[21 10 18  1  6 31  1 10]
1029,"[16 16  5 13 13 24 15 30 24 15 30 24 13  5 16 16 16 16 16 16 16 25 16 25
 27 31 27 31 33 22 33 22]",[16  5 13 13 24 15 30 24]
1030,"[24 29 20 29  1 24  1 24  2 28  7 20 20 28  7 20 27 29  1  1 29  1  1 29
  1  1 29  1  1 29  1 11]",[29 20 29  1 24  1 24  2]
1031,"[ 1 29  1  1 29  1 27  2  1 29  1 27  2  1 29  1 27  2  1 29  1 27  2 10
 18  1  6 31  1 10 18  1]",[29  1  1 29  1 27  2  1]
1032,"[ 7 28 29 20  1  6 10 15 13  6 10 29  2  1  7 28 29 20  1 33  6 10  5 28
  1 20 29 33  6 10  5 28]",[28 29 20  1  6 10 15 13]
1033,"[13 30 13 30 30 13 30  4 30  9 30 30 17 30 30 24 24 17  5 24 24  9 30 30
 30 30 30  4 30  5 30 30]",[30 13 30 30 13 30  4 30]
1034,"[25 17  0  8 25  0 17  0  8  9  4 25 17 25  0 17  8  4 25 17 25  0 17  8
  4 25 17  0 28  4 25 17]",[17  0  8 25  0 17  0  8]
1035,"[ 0 29 33 27 11 19 10  2 29 33 11 19 10  2 31 11 19 26  3 22 27 11 19 13
 26  3 22 11 19 13 26 29]",[29 33 27 11 19 10  2 29]
1036,"[27 14 14 14 14 14 14 29  1 13  2  7 22 23  4  4 25  8  8  8  8  8  8  8
 11 10  2 19 25 25 14 14]",[14 14 14 14 14 14 29  1]
1037,"[ 6  2 31 11 19  3  3 22 27 11 19 15 26  3 22 11 19 15 26 29 33 11 19  6
  2 11  0  8  0  0  0  0]",[ 2 31 11 19  3  3 22 27]
1038,"[ 5  1 26  3  5  1 26  3  5  1 26  1 24 25  1 24  1 24  1 24 29 17  3 11
 20  9  6  1 12  6 15 23]",[ 1 26  3  5  1 26  3  5]
1039,"[22 26  7 26 25 19 26  4 26  4  7 13 26 13 23  7 11 30 11 22 26  7 26 25
 19 26  4 26  4  7 13 26]",[26  7 26 25 19 26  4 26]
1040,"[ 1 27 18 29 27 18 29 27 18 15 27 18 15 27 14 18 20 27 14 18 20 27 18 28
 27 18 28 27 14 14 14 14]",[27 18 29 27 18 29 27 18]
1041,"[24  1 24 29 17  3 11 20  9  6  1 12  6 15 23 20  4 20  3 17  6 20 15 12
 32 18 12 21 12 12 31 33]",[ 1 24 29 17  3 11 20  9]
1042,"[21 18 16 16 18 21 18 21 19 21 19 19 19 19 19 19 19 19 19 19 19 29 27 11
 19 24  2 29 11 19 24  2]",[18 16 16 18 21 18 21 19]
1043,"[11 19 26  3 22 27 11 19 13 26  3 22 11 19 13 26 29 33 11 19 10  2 29 33
 11 19 10  2 16 16  0  0]",[19 26  3 22 27 11 19 13]
1044,"[24 12 24  4  2 24  5 24  2 24 24  4  2 24 25  5 24  2 24 24  8 30 24 17
 11 24 30 24 24 25 30 24]",[12 24  4  2 24  5 24  2]
1045,"[23 14 12 25  8  2 13  1 29 15 20  4 23 23 23 14 12 25  8 13  3 15 17 14
 14 25  8  4 17 17 23  4]",[14 12 25  8  2 13  1 29]
1046,"[21 32 21 32 21 31 21 32 32 31 32 32 31 32 32 31 32 21 32 21 31 21 32 21
 32 21 31 21 32 21 16 32]",[32 21 32 21 31 21 32 32]
1047,"[20 29  2 29 26  2  7 29 22  2 29  1  1 29 29 13 29 29  3 29  1 13 29 20
 20  2 26  2  7 22 15  2]",[29  2 29 26  2  7 29 22]
1048,"[28 17 29  8 17  3 11 12 20 20  9  6  1  9 23 12  6 15  9 28 15  3 29  5
 11 13 24 30 26 24 13 24]",[17 29  8 17  3 11 12 20]
1049,"[19  6  2 29 33 11 19  6  2 31 11 19  3  3 22 27 11 19 15 26  3 22 11 19
 15 26 29 33 11 19  6  2]",[ 6  2 29 33 11 19  6  2]
1050,"[11 27  3 33 11 27 10 21 11 27  3 33 11 27 10 21 11 27 29 33 11 27 13 21
 11 31 29 22 11 31 13 21]",[27  3 33 11 27 10 21 11]
1051,"[ 9  4 25 17 28 28 17 17 17 17 17  8 25  8  8  4 25 28 28 17  4 17  9 17
  9  4 23  4  4  8  8  4]",[ 4 25 17 28 28 17 17 17]
1052,"[27  2  1 29  1 27  2  1 29  1 27  2 10 18  1  6 31  1 10 18  1  6 31  1
 10 18  1  6 31  1 26 18]",[ 2  1 29  1 27  2  1 29]
1053,"[27  2 21 11 29 21 11 27  2 21 11 29 21 11 27  2 21 11 29 21 11 27  2 21
 10 18  1  6 31  1 10 18]",[ 2 21 11 29 21 11 27  2]
1054,"[21 11 31 22 11 31  7  2 24 29 20 29  1 24  1 24  2 28  7 20 20 28  7 20
 27 29  1  1 29  1  1 29]",[11 31 22 11 31  7  2 24]
1055,"[13  3 15 17 14 14 25  8  4 17 17 23 12 12  8 27 31 33 22 19  7 17 17 17
 17 17 17 17 17 17 17 14]",[ 3 15 17 14 14 25  8  4]
1056,"[31 21 32 32 31 32 32 31 32 32 31 32 21 32 21 31 21 32 21 32 21 31 21 32
 21 16 32 31 32 32 21 31]",[21 32 32 31 32 32 31 32]
1057,"[31 11 19  3  3 22 27 11 19 15 26  3 22 11 19 15 26 29 33 11 19  6  2 11
  0  8  0  0  0  0 21 31]",[11 19  3  3 22 27 11 19]
1058,"[ 0  0  0 27  2 27  0  2 27  2 27  2 27 27  2 27  2 27  2  0  0 27  2 27
 27  0 27 27 27 27 27 27]",[ 0  0 27  2 27  0  2 27]
1059,"[12 12 33 23 33 33 33 33 20  9 33 12 10  6  5  6  9  6 20  6 23 12  9  7
 10  9  9  9  7 10  9  9]",[12 33 23 33 33 33 33 20]
1060,"[19 29 27 11 19 24  2 29 11 19 24  2 31 11 19 26  3 22 27 11 19 13 26  3
 22 11 19 13 26 29 11 19]",[29 27 11 19 24  2 29 11]
1061,"[ 3 22 27 11 19 15 26  3 22 11 19 15 26 29 33 11 19  6  2 11  0  8  0  0
  0  0 29 33 27 11 19 10]",[22 27 11 19 15 26  3 22]
1062,"[24 10 13 10 26 12 23 27  4 12  8 23  8 23 23 23 23 23 23 30 23 25 23 12
  9  6  3  9 12  1  5 23]",[10 13 10 26 12 23 27  4]
1063,"[ 3 31  1 10 21 11 27  3 33 11 27 10 21 11 27  3 33 11 27 10 21 11 27  3
 33 11 27 10 21 11 27 29]",[31  1 10 21 11 27  3 33]
1064,"[11 19 24  2 29 11 19 24  2 31 11 19 26  3 22 27 11 19 13 26  3 22 11 19
 13 26 29 11 19 24  2 29]",[19 24  2 29 11 19 24  2]
1065,"[21 32 21 18 16 16 18 21 18 32 21 32 21 18 16 16 18 21 18 32 21 32  0 21
 18 16 16 18 21 18 21 19]",[32 21 18 16 16 18 21 18]
1066,"[18  1  6 31  1 26 18  1  3 31  1 10 21 11 27  3 33 11 27 10 21 11 27  3
 33 11 27 10 21 11 27  3]",[ 1  6 31  1 26 18  1  3]
1067,"[21  8 27  8 31 33  8 19  7  8  2 26  8 10  8 11  3 17 11  3 31 11  3 11
  3 17 13  1  3 13  1  3]",[ 8 27  8 31 33  8 19  7]
1068,"[15 13 29  1 13  2 13  1 29 27 31 33 22  0 27 22 27 31 33 22  0 27 22 16
 19 16 19  2  2  0  0 14]",[13 29  1 13  2 13  1 29]
1069,"[31  1 26 18  1  3 31  1 10 21 11 27  3 33 11 27 10 21 11 27 29 33 11 27
 13 21 11 31 29 22 11 31]",[ 1 26 18  1  3 31  1 10]
1070,"[28  1 20 29 28  1 20 29 28  1 20 29  2 29 26  2  7 29 22  2 29  1  1 29
 29 13 29 29  3 29  1 13]",[ 1 20 29 28  1 20 29 28]
1071,"[29 29 13 29 29  3 29  1 13 29 20 20  2 26  2  7 22 15  2  1 28  1 20 15
 29 15 13 20 28 27 31 33]",[29 13 29 29  3 29  1 13]
1072,"[ 2 21 11 29 21 11 27  2 21 10 18  1  6 31  1 10 18  1  6 31  1 10 18  1
  6 31  1 26 18  1  3 31]",[21 11 29 21 11 27  2 21]
1073,"[10  1 23 29 12 23  2  4 12  8  7 23  8 10 33 24 10 13 10 26 12 23 27  4
 12  8 23  8 23 23 23 23]",[ 1 23 29 12 23  2  4 12]
1074,"[31 21 32 21 32 16 16 21 31 21 32 21 32 21 31 21 32 32 31 32 32 31 32 32
 31 32 21 32 21 31 21 32]",[21 32 21 32 16 16 21 31]
1075,"[ 0 17  8  4 25 17  0 28  4 25 17 25  0 17  8  4 25 17  0  0 29 29 29 29
 29 29 29 29 29 29 29 17]",[17  8  4 25 17  0 28  4]
1076,"[ 1 29  1 27  2 10 18  1  6 31  1 10 18  1  6 31  1 10 18  1  6 31  1 26
 18  1  3 31  1 10 21 11]",[29  1 27  2 10 18  1  6]
1077,"[11  3 31 11  3 11  3 17 13  1  3 13  1  3 31 13  1  3 13  1  3 10 11  3
 25 10 11  3 31 10 11  3]",[ 3 31 11  3 11  3 17 13]
1078,"[22 16 19 16 19  2  2  0  0 14 20 20 15  3 15  3  1  1  7  7 33  7 15  7
  6  7  2 13 29  6 20 15]",[16 19 16 19  2  2  0  0]
1079,"[26  3  5  1 26  1 24 25  1 24  1 24  1 24 29 17  3 11 20  9  6  1 12  6
 15 23 20  4 20  3 17  6]",[ 3  5  1 26  1 24 25  1]
1080,"[ 5 28  1 20 29 33  6 10  5 28  1 20 29 33  6 10 33 28  1 20 29 28  1 20
 29 28  1 20 29 28  1 20]",[28  1 20 29 33  6 10  5]
1081,"[10  5 28  1 20 29 33  6 10 33 28  1 20 29 28  1 20 29 28  1 20 29 28  1
 20 29 28  1 20 29 28  1]",[ 5 28  1 20 29 33  6 10]
1082,"[16 16 16 16 16 16  5 13 13 24 15 30 24 15 30 24 13  5 16 16 16 16 16 16
 16 25 16 25 27 31 27 31]",[16 16 16 16 16  5 13 13]
1083,"[ 6  7  2 13 29  6 20 15  6  3  6  6 10 15 13  6 10 29  2  1  7 28 29 20
  1  6 10 15 13  6 10 29]",[ 7  2 13 29  6 20 15  6]
1084,"[ 1 15 13 29  1 13  2 13  1 29 27 31 33 22  0 27 22 27 31 33 22  0 27 22
 16 19 16 19  2  2  0  0]",[15 13 29  1 13  2 13  1]
1085,"[ 9 30 30 30 30 30  4 30  5 30 30 30 30 24 24 16 16 16 16 16 16  5 13 13
 24 15 30 24 15 30 24 13]",[30 30 30 30 30  4 30  5]
1086,"[27 27  0  0 27 27 27 27 27  3 27 27 27 29 27  3  3 29 29  2  3 26 29  2
  1  7 13 22 29  2 20  1]",[27  0  0 27 27 27 27 27]
1087,"[31 32 21 32 21 31 21 32 21 32 21 31 21 32 21 16 32 31 32 32 21 31 21 32
 21 32 21 31 21 32 21 32]",[32 21 32 21 31 21 32 21]
1088,"[32 31 32 32 31 32 21 32 21 31 21 32 21 32 21 31 21 32 21 16 32 31 32 32
 21 31 21 32 21 32 21 31]",[31 32 32 31 32 21 32 21]
1089,"[18 21 18 32 21 32 21 18 16 16 18 21 18 32 21 32  0 21 18 16 16 18 21 18
 21 19 21 19 19 19 19 19]",[21 18 32 21 32 21 18 16]
1090,"[23 23 23 14 12 25  8  2 13  1 29 15 20  4 23 23 23 14 12 25  8 13  3 15
 17 14 14 25  8  4 17 17]",[23 23 14 12 25  8  2 13]
1091,"[11 19 15 26  3 22 11 19 15 26 29 33 11 19  6  2 11  0  8  0  0  0  0 21
 31 21 32 21 32 16 16 21]",[19 15 26  3 22 11 19 15]
1092,"[32 21 32 21 31 21 32 21 32 21 31 21 32 21 16 32 31 32 32 21 31 21 32 21
 32 21 31 21 32 21 32 21]",[21 32 21 31 21 32 21 32]
1093,"[ 1  7  7 33  7 15  7  6  7  2 13 29  6 20 15  6  3  6  6 10 15 13  6 10
 29  2  1  7 28 29 20  1]",[ 7  7 33  7 15  7  6  7]
1094,"[25 17 25  0 17  8  4 25 17  0 28  4 25 17 25  0 17  8  4 25 17  0  0 29
 29 29 29 29 29 29 29 29]",[17 25  0 17  8  4 25 17]
1095,"[20 25  3  3  4  5  1 26 20 25  1 24 28 17 29  8 17  3 11  9 22 26  7 26
 25 19 26  4 26  4  7 13]",[25  3  3  4  5  1 26 20]
1096,"[29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29  2 29 26  2  7 29 22
  2 29  1  1 29 29 13 29]",[28  1 20 29 28  1 20 29]
1097,"[16 16 29 33 27 11 19  6  2 29 33 11 19  6  2 31 11 19  3  3 22 27 11 19
 15 26  3 22 11 19 15 26]",[16 29 33 27 11 19  6  2]
1098,"[25 17 25  0 17  8  4 25 17 25  0 17  8  4 25 17  0 28  4 25 17 25  0 17
  8  4 25 17  0  0 29 29]",[17 25  0 17  8  4 25 17]
1099,"[ 3 13  1  3 31 13  1  3 13  1  3 10 11  3 25 10 11  3 31 10 11  3 10 11
  3 25 26 13 23  3  4 26]",[13  1  3 31 13  1  3 13]
1100,"[16 16 16 25 16 25 27 31 27 31 33 22 33 22 19 19  2  2 14  9  9 27 27 22
 19 22 19  8  8 27 27 22]",[16 16 25 16 25 27 31 27]
1101,"[ 6 10 29  2  1  7 28 29 20  1 33  6 10  5 28  1 20 29 33  6 10  5 28  1
 20 29 33  6 10 33 28  1]",[10 29  2  1  7 28 29 20]
1102,"[ 2 27  2 27  2  0  0 27  2 27 27  0 27 27 27 27 27 27 27 27 27 27  0  0
 27 27 27 27 27  3 27 27]",[27  2 27  2  0  0 27  2]
1103,"[22  4 30 22  4 24 22  9 30 22  8  9 24 30  5 13  5  5 13  5 30  5 15 13
  5 29  5  5 30  5 13  5]",[ 4 30 22  4 24 22  9 30]
1104,"[ 1 13  2 13  4 13 30 13  9 13 30 13 30 30 13 30  4 30  9 30 30 17 30 30
 24 24 17  5 24 24  9 30]",[13  2 13  4 13 30 13  9]
1105,"[27 14 18 20 27 14 18 20 27 18 28 27 18 28 27 14 14 14 14 14 14 29  1 13
  2  7 22 23  4  4 25  8]",[14 18 20 27 14 18 20 27]
1106,"[ 9  9  9  8  8 28  8  8  8  8  8  9 17 17 17  9  9  4 25 17 28 28 17 17
 17 17 17  8 25  8  8  4]",[ 9  9  8  8 28  8  8  8]
1107,"[26  3 22 27 11 19 13 26  3 22 11 19 13 26 29 11 19 24  2 29 11 19 24  2
 16 16 16 16 16 16 29 33]",[ 3 22 27 11 19 13 26  3]
1108,"[ 2 16 16  0  0  0  0  0  0 16 16 16 16 29 33 27 11 19  6  2 29 33 11 19
  6  2 31 11 19  3  3 22]",[16 16  0  0  0  0  0  0]
1109,"[18 15 27 18 15 27 14 18 20 27 14 18 20 27 18 28 27 18 28 27 14 14 14 14
 14 14 29  1 13  2  7 22]",[15 27 18 15 27 14 18 20]
1110,"[ 6 10  5 28  1 20 29 33  6 10 33 28  1 20 29 28  1 20 29 28  1 20 29 28
  1 20 29 28  1 20 29 28]",[10  5 28  1 20 29 33  6]
1111,"[ 2 16 16 16 16 16 16 29 33 27 11 19  6  2 29 33 11 19  6  2 31 11 19  3
  3 22 27 11 19 15 26  3]",[16 16 16 16 16 16 29 33]
1112,"[15  2  1 28  1 20 15 29 15 13 20 28 27 31 33 22  0 27 22 29  3  6 15 29
  0 15 25 16 25  8  8 17]",[ 2  1 28  1 20 15 29 15]
1113,"[27  2 27  2  0  0 27  2 27 27  0 27 27 27 27 27 27 27 27 27 27  0  0 27
 27 27 27 27  3 27 27 27]",[ 2 27  2  0  0 27  2 27]
1114,"[ 1 29 29 13 29 29  3 29  1 13 29 20 20  2 26  2  7 22 15  2  1 28  1 20
 15 29 15 13 20 28 27 31]",[29 29 13 29 29  3 29  1]
1115,"[27 18 28 27 14 14 14 14 14 14 29  1 13  2  7 22 23  4  4 25  8  8  8  8
  8  8  8 11 10  2 19 25]",[18 28 27 14 14 14 14 14]
1116,"[19  3  3 22 27 11 19 15 26  3 22 11 19 15 26 29 33 11 19  6  2 11  0  8
  0  0  0  0 29 33 27 11]",[ 3  3 22 27 11 19 15 26]
1117,"[ 3 11 12 20 20  9  6  1  9 23 12  6 15  9 28 15  3 29  5 11 13 24 30 26
 24 13 24 26 24 13 24 26]",[11 12 20 20  9  6  1  9]
